+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                      ;
+------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; NiosII|interval_timer_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                            ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|interval_timer_s1_translator_avalon_universal_slave_0_agent                                                                                         ; 321   ; 39             ; 56           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                      ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                                  ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_avalon_jtag_slave_translator_avalon_universal_slave_0_agent                                                                               ; 321   ; 39             ; 56           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                       ; 63    ; 41             ; 0            ; 41             ; 20     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                         ; 137   ; 39             ; 0            ; 39             ; 96     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                     ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator_avalon_universal_slave_0_agent                                                                                                  ; 253   ; 22             ; 40           ; 22             ; 267    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                            ; 155   ; 39             ; 0            ; 39             ; 114    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor                                                                        ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_jtag_debug_module_translator_avalon_universal_slave_0_agent                                                                                     ; 321   ; 39             ; 56           ; 39             ; 338    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer_avalon_pixel_dma_master_translator_avalon_universal_master_0_agent                                                                 ; 173   ; 39             ; 94           ; 39             ; 113    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_data_master_translator_avalon_universal_master_0_agent                                                                                          ; 210   ; 39             ; 99           ; 39             ; 147    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_instruction_master_translator_avalon_universal_master_0_agent                                                                                   ; 210   ; 39             ; 99           ; 39             ; 147    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|flash_flash_erase_control_translator                                                                                                                ; 116   ; 6              ; 31           ; 6              ; 73     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|flash_flash_data_translator                                                                                                                         ; 116   ; 6              ; 12           ; 6              ; 93     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer_avalon_control_slave_translator                                                                                                    ; 116   ; 7              ; 30           ; 7              ; 74     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_char_buffer_avalon_char_buffer_slave_translator                                                                                                 ; 63    ; 6              ; 19           ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_char_buffer_avalon_char_control_slave_translator                                                                                                ; 116   ; 7              ; 31           ; 7              ; 74     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sram_avalon_sram_slave_translator                                                                                                                   ; 81    ; 6              ; 14           ; 6              ; 56     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|ps2_port_avalon_ps2_slave_translator                                                                                                                ; 116   ; 6              ; 31           ; 6              ; 74     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|char_lcd_16x2_avalon_lcd_slave_translator                                                                                                           ; 63    ; 6              ; 31           ; 6              ; 22     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pushbuttons_avalon_parallel_port_slave_translator                                                                                                   ; 116   ; 7              ; 30           ; 7              ; 75     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|slider_switches_avalon_parallel_port_slave_translator                                                                                               ; 116   ; 7              ; 30           ; 7              ; 75     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|hex7_hex4_avalon_parallel_port_slave_translator                                                                                                     ; 116   ; 7              ; 30           ; 7              ; 75     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|hex3_hex0_avalon_parallel_port_slave_translator                                                                                                     ; 116   ; 7              ; 30           ; 7              ; 75     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|green_leds_avalon_parallel_port_slave_translator                                                                                                    ; 116   ; 7              ; 30           ; 7              ; 75     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|red_leds_avalon_parallel_port_slave_translator                                                                                                      ; 116   ; 7              ; 30           ; 7              ; 75     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sysid_control_slave_translator                                                                                                                      ; 116   ; 7              ; 31           ; 7              ; 35     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|interval_timer_s1_translator                                                                                                                        ; 100   ; 23             ; 48           ; 23             ; 55     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_avalon_jtag_slave_translator                                                                                                              ; 116   ; 6              ; 34           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator                                                                                                                                 ; 81    ; 5              ; 10           ; 5              ; 61     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_jtag_debug_module_translator                                                                                                                    ; 116   ; 6              ; 23           ; 6              ; 82     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|vga_pixel_buffer_avalon_pixel_dma_master_translator                                                                                                 ; 83    ; 32             ; 2            ; 32             ; 74     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_data_master_translator                                                                                                                          ; 114   ; 16             ; 0            ; 16             ; 108    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_instruction_master_translator                                                                                                                   ; 113   ; 56             ; 2            ; 56             ; 109    ; 56              ; 56            ; 56              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_custom_instruction_master_multi_slave_translator0                                                                                               ; 160   ; 0              ; 6            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_custom_instruction_master_multi_xconnect                                                                                                        ; 127   ; 0              ; 0            ; 0              ; 160    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_custom_instruction_master_translator                                                                                                            ; 250   ; 123            ; 0            ; 123            ; 127    ; 123             ; 123           ; 123             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|flash|flash_mem_interface|fm                                                                                                                        ; 34    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|flash|flash_mem_interface|ui                                                                                                                        ; 44    ; 0              ; 0            ; 0              ; 41     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|flash|flash_mem_interface                                                                                                                           ; 35    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|flash                                                                                                                                               ; 100   ; 0              ; 0            ; 0              ; 92     ; 0               ; 0             ; 0               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|external_clocks                                                                                                                                     ; 3     ; 0              ; 1            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sysid                                                                                                                                               ; 3     ; 18             ; 2            ; 18             ; 32     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu                                                                                                                                                 ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|alpha_blending|alpha_blender                                                                                                                        ; 70    ; 0              ; 9            ; 0              ; 30     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|alpha_blending                                                                                                                                      ; 79    ; 0              ; 2            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|cmpr7|auto_generated                                                                                          ; 27    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|cmpr6|auto_generated                                                                                          ; 27    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|cmpr5|auto_generated                                                                                          ; 13    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|cmpr4|auto_generated                                                                                          ; 13    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|cmpr3|auto_generated                                                                                          ; 13    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|cmpr2|auto_generated                                                                                          ; 14    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|add_sub9|auto_generated                                                                                       ; 21    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|add_sub10|auto_generated                                                                                      ; 18    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|qds_block50|mux45|auto_generated                                           ; 516   ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|qds_block50|cmpr49|auto_generated                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|qds_block50|cmpr48|auto_generated                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|qds_block50|cmpr47|auto_generated                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|qds_block50|cmpr46|auto_generated                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|qds_block50                                                                ; 15    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|mux55|auto_generated                                                       ; 219   ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa54|csa_upper1|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa54|csa_upper0|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa54|csa_lower|auto_generated                                   ; 28    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa54                                                            ; 54    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa53|csa_upper1|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa53|csa_upper0|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa53|csa_lower|auto_generated                                   ; 28    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa53                                                            ; 54    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa52|csa_upper1|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa52|csa_upper0|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa52|csa_lower|auto_generated                                   ; 28    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa52                                                            ; 54    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa51|csa_upper1|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa51|csa_upper0|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa51|csa_lower|auto_generated                                   ; 28    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24|altfp_div_csa51                                                            ; 54    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int24                                                                            ; 52    ; 1              ; 0            ; 1              ; 54     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|qds_block39|mux45|auto_generated                                           ; 516   ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|qds_block39|cmpr49|auto_generated                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|qds_block39|cmpr48|auto_generated                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|qds_block39|cmpr47|auto_generated                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|qds_block39|cmpr46|auto_generated                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|qds_block39                                                                ; 15    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|mux44|auto_generated                                                       ; 203   ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa43|csa_upper1|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa43|csa_upper0|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa43|csa_lower|auto_generated                                   ; 28    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa43                                                            ; 54    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa42|csa_upper1|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa42|csa_upper0|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa42|csa_lower|auto_generated                                   ; 28    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa42                                                            ; 54    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa41|csa_upper1|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa41|csa_upper0|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa41|csa_lower|auto_generated                                   ; 28    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa41                                                            ; 54    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa40|csa_upper1|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa40|csa_upper0|auto_generated                                  ; 27    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa40|csa_lower|auto_generated                                   ; 28    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23|altfp_div_csa40                                                            ; 54    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int23                                                                            ; 52    ; 1              ; 0            ; 1              ; 52     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int22|qds_block39|mux45|auto_generated                                           ; 516   ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int22|qds_block39|cmpr49|auto_generated                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int22|qds_block39|cmpr48|auto_generated                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int22|qds_block39|cmpr47|auto_generated                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int22|qds_block39|cmpr46|auto_generated                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int22|qds_block39                                                                ; 15    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cpu_fpoint|fpoint_instance|the_fp_div|altfp_div_srt_ext1|srt_block_int22|mux44|auto_generated                                                       ; 203   ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
